colummn,file
Category 3,/home/shreya/Desktop/Image_2/Image_2/Input/Dataset/test/Test_original_4052.png_78b7cca7-2a16-4f3c-829d-e4937b5f2dc2.png
Category 1,/home/shreya/Desktop/Image_2/Image_2/Input/Dataset/test/Test_original_1052.png_22a82512-5b1f-4072-a4af-9a8af40653f0.png
Category 2,/home/shreya/Desktop/Image_2/Image_2/Input/Dataset/test/Test_original_6052.png_9950e35a-38c7-4388-b391-ce50bb8ea1a7.png
Category 3,/home/shreya/Desktop/Image_2/Image_2/Input/Dataset/test/4043.png
Category 2,/home/shreya/Desktop/Image_2/Image_2/Input/Dataset/test/Test_original_6053.png_c34c8352-0830-4853-81ce-3ea5ecf82313.png
Category 3,/home/shreya/Desktop/Image_2/Image_2/Input/Dataset/test/Test_original_4052.png_a2ba34f8-9e8b-4b2d-ad89-612c261a9654.png
Category 3,/home/shreya/Desktop/Image_2/Image_2/Input/Dataset/test/Test_original_4052.png_209d62b3-92ce-4e4d-8006-cf63a40088a4.png
Category 1,/home/shreya/Desktop/Image_2/Image_2/Input/Dataset/test/Test_original_1051.png_271f7fb1-f0ab-4ca7-9dae-a352fd0ed8b9.png
Category 4,/home/shreya/Desktop/Image_2/Image_2/Input/Dataset/test/Test_original_C052.png_5c226e55-09ba-4fd0-bf6b-e0d2b411baa3.png
Category 2,/home/shreya/Desktop/Image_2/Image_2/Input/Dataset/test/Test_original_6052.png_25bb57e2-b542-47c3-9abb-a1f7c7179ee6.png
Category 1,/home/shreya/Desktop/Image_2/Image_2/Input/Dataset/test/Test_original_1052.png_b95bc311-bae0-48a7-8b9f-d0eddf1ddf2b.png
Category 1,/home/shreya/Desktop/Image_2/Image_2/Input/Dataset/test/1051.png
Category 2,/home/shreya/Desktop/Image_2/Image_2/Input/Dataset/test/Test_original_6052.png_51c87ecf-ede6-4152-960f-4d56ff913d53.png
Category 2,/home/shreya/Desktop/Image_2/Image_2/Input/Dataset/test/Test_original_6053.png_445dbbe1-4b09-4d56-aede-ab1695664ead.png
Category 3,/home/shreya/Desktop/Image_2/Image_2/Input/Dataset/test/4052.png
Category 3,/home/shreya/Desktop/Image_2/Image_2/Input/Dataset/test/Test_original_4051.png_b90a2ba4-87c6-41e6-ad67-0e0d2e83478c.png
Category 3,/home/shreya/Desktop/Image_2/Image_2/Input/Dataset/test/Test_original_4043.png_fffcbc29-3aff-40c0-bdf9-2c12fa6df60b.png
Category 3,/home/shreya/Desktop/Image_2/Image_2/Input/Dataset/test/Test_original_4052.png_31cd9a66-9edc-4445-b4bc-9b0239b342e0.png
Category 4,/home/shreya/Desktop/Image_2/Image_2/Input/Dataset/test/Test_original_C053.png_84d8e7c9-490f-4579-b9a9-501a8ca02cfe.png
Category 2,/home/shreya/Desktop/Image_2/Image_2/Input/Dataset/test/6053.png
Category 4,/home/shreya/Desktop/Image_2/Image_2/Input/Dataset/test/Test_original_C053.png_e7d20702-793e-4207-b174-a8042c05ac3d.png
Category 3,/home/shreya/Desktop/Image_2/Image_2/Input/Dataset/test/Test_original_4043.png_615f9058-5c5c-4430-9f11-debd66f8a19a.png
Category 4,/home/shreya/Desktop/Image_2/Image_2/Input/Dataset/test/C053.png
Category 3,/home/shreya/Desktop/Image_2/Image_2/Input/Dataset/test/4050.png
Category 3,/home/shreya/Desktop/Image_2/Image_2/Input/Dataset/test/4051.png
Category 2,/home/shreya/Desktop/Image_2/Image_2/Input/Dataset/test/Test_original_6053.png_62171105-bdaa-4eb5-b5e7-9b0fb7914715.png
Category 2,/home/shreya/Desktop/Image_2/Image_2/Input/Dataset/test/Test_original_6053.png_16f2063e-9590-4ae5-b7f9-7f23c8cfa654.png
Category 1,/home/shreya/Desktop/Image_2/Image_2/Input/Dataset/test/1052.png
Category 2,/home/shreya/Desktop/Image_2/Image_2/Input/Dataset/test/6052.png
Category 4,/home/shreya/Desktop/Image_2/Image_2/Input/Dataset/test/C052.png
